Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime
2016-02-01 10:00:00,61,Monday,2,30,48,19.9833333333
2015-12-21 10:00:00,61,Monday,2,11,53,20.4833333333
2016-04-18 10:00:00,61,Monday,2,34,64,19.25
2016-04-25 10:00:00,61,Monday,2,23,52,20.1833333333
2016-05-02 10:00:00,61,Monday,2,28,57,17.1333333333
2016-05-09 10:00:00,61,Monday,2,26,55,17.25
2016-03-07 10:00:00,61,Monday,2,26,51,18.9333333333
2016-03-14 10:00:00,61,Monday,2,28,56,19.1
2016-03-21 10:00:00,61,Monday,2,26,56,19.8333333333
2016-03-28 10:00:00,61,Monday,2,24,51,17.6666666667
2016-02-08 10:00:00,61,Monday,2,34,57,16.1166666667
2016-02-15 10:00:00,61,Monday,2,30,67,17.3666666667
2016-02-22 10:00:00,61,Monday,2,28,55,14.5333333333
2016-02-29 10:00:00,61,Monday,2,20,55,17.8333333333
2016-05-16 10:00:00,61,Monday,2,32,58,20.9166666667
2016-01-25 10:00:00,61,Monday,2,26,54,22.4
2016-05-23 10:00:00,61,Monday,2,30,55,19.4333333333
2016-05-30 10:00:00,61,Monday,2,30,58,18.4333333333
2016-06-06 10:00:00,61,Monday,2,26,56,17.8833333333
2016-06-13 10:00:00,61,Monday,2,23,61,19.3333333333
2016-06-20 10:00:00,61,Monday,2,34,58,18.45
2016-06-27 10:00:00,61,Monday,2,32,53,16.2166666667
2016-07-04 10:00:00,61,Monday,2,26,56,15.85
2016-07-11 10:00:00,61,Monday,2,32,61,17
2016-07-18 10:00:00,61,Monday,2,23,56,14.6333333333
2016-07-25 10:00:00,61,Monday,2,26,57,16.8666666667
2016-08-01 10:00:00,61,Monday,2,26,58,18.7333333333
2016-08-08 10:00:00,61,Monday,2,30,56,15.3166666667
2016-08-15 10:00:00,61,Monday,2,26,54,15.5333333333
2016-08-22 10:00:10,61,Monday,2,26,56,15.25
2016-09-12 10:00:00,61,Monday,2,28,56,14.3333333333
2016-04-12 10:30:00,64,Tuesday,3,30,53,19.8833333333
2016-02-02 10:30:00,64,Tuesday,3,26,48,19.3
2015-12-22 10:30:00,64,Tuesday,3,26,57,19.9333333333
2016-04-19 10:30:00,64,Tuesday,3,30,64,18.1666666667
2016-04-26 10:30:00,64,Tuesday,3,26,53,22
2016-05-03 10:30:00,64,Tuesday,3,26,56,13.4
2016-05-10 10:30:00,64,Tuesday,3,30,56,19.3333333333
2016-03-08 10:30:00,64,Tuesday,3,28,59,16.8666666667
2016-03-15 10:30:00,64,Tuesday,3,30,53,18.45
2016-03-22 10:30:00,64,Tuesday,3,30,56,22.9
2016-03-29 10:30:00,64,Tuesday,3,32,53,18.9
2016-02-02 10:30:00,64,Tuesday,3,26,48,19.3
2016-02-09 10:30:00,64,Tuesday,3,28,59,21.0833333333
2016-02-16 10:30:00,64,Tuesday,3,30,62,17.6666666667
2016-02-23 10:30:00,64,Tuesday,3,28,61,17.6666666667
2016-05-17 10:30:00,64,Tuesday,3,34,64,22.7333333333
2016-01-26 10:30:00,64,Tuesday,3,28,52,17.3666666667
2016-05-24 10:30:00,64,Tuesday,3,23,57,20.1166666667
2016-05-31 10:30:00,64,Tuesday,3,34,58,20.5666666667
2016-06-07 10:30:00,64,Tuesday,3,26,57,19.8333333333
2016-06-14 10:30:00,64,Tuesday,3,23,56,16.0333333333
2016-06-21 10:30:00,64,Tuesday,3,32,62,18.4666666667
2016-06-28 10:30:00,64,Tuesday,3,34,53,16.85
2016-07-05 10:30:00,64,Tuesday,3,23,58,22.6666666667
2016-07-12 10:30:00,64,Tuesday,3,23,55,16.35
2016-07-19 10:30:00,64,Tuesday,3,23,55,19.15
2016-07-26 10:30:00,64,Tuesday,3,28,62,18.8
2016-08-02 10:30:00,64,Tuesday,3,26,56,17.3
2016-08-09 10:30:00,64,Tuesday,3,28,56,15.8666666667
2016-08-16 10:30:00,64,Tuesday,3,26,54,14.5166666667
2016-08-23 10:30:00,64,Tuesday,3,26,59,17.5166666667
2016-08-30 10:30:00,64,Tuesday,3,32,60,19.0166666667
2016-09-06 10:30:00,64,Tuesday,3,32,61,16.1333333333
2016-09-13 10:30:00,64,Tuesday,3,34,61,14.9833333333
2016-04-13 19:00:00,115,Wednesday,4,30,57,20.9
2016-02-03 19:00:00,115,Wednesday,4,27,55,21.3166666667
2015-12-16 19:00:00,115,Wednesday,4,29,46,33.0166666667
2016-04-20 19:00:00,115,Wednesday,4,28,63,27.8333333333
2016-04-27 19:00:00,115,Wednesday,4,24,55,19.5833333333
2016-03-02 19:00:00,115,Wednesday,4,26,61,17.9333333333
2016-05-04 19:00:00,115,Wednesday,4,26,58,13.5
2016-05-11 19:00:00,115,Wednesday,4,28,57,21.3666666667
2016-03-09 19:00:00,115,Wednesday,4,26,63,19.55
2016-03-16 19:00:00,115,Wednesday,4,30,69,23.0166666667
2015-12-17 19:30:00,118,Thursday,5,29,54,22.0166666667
2016-04-14 19:30:00,118,Thursday,5,24,57,20.75
2016-04-21 19:30:00,118,Thursday,5,23,62,17.9
2016-04-28 19:30:00,118,Thursday,5,24,57,20.4333333333
2016-03-03 19:30:00,118,Thursday,5,26,61,17.2333333333
2016-05-05 19:30:00,118,Thursday,5,28,61,19.4333333333
2016-05-12 19:30:00,118,Thursday,5,23,57,20.7333333333
2016-03-10 19:30:00,118,Thursday,5,11,61,21.8166666667
2016-03-17 19:30:00,118,Thursday,5,34,67,18.95
2016-03-24 19:30:00,118,Thursday,5,23,58,22.4166666667
2015-12-18 20:00:00,121,Friday,6,11,53,26.1166666667
2016-04-15 20:00:00,121,Friday,6,23,61,19.5666666667
2016-04-22 20:00:00,121,Friday,6,23,58,18.2333333333
2016-04-29 20:00:00,121,Friday,6,24,55,19.5833333333
2016-02-12 20:00:00,121,Friday,6,27,60,17.1333333333
2016-03-04 20:00:00,121,Friday,6,27,63,19.6666666667
2016-05-06 20:00:00,121,Friday,6,28,58,21.0666666667
2016-05-13 20:00:00,121,Friday,6,32,58,20.6
2016-03-11 20:00:00,121,Friday,6,11,54,22.8833333333
2016-03-18 20:00:00,121,Friday,6,28,58,22.8666666667
2016-03-25 20:00:00,121,Friday,6,23,58,20
2016-02-05 20:00:00,121,Friday,6,29,55,12.3833333333
2016-02-12 20:00:00,121,Friday,6,27,60,17.1333333333
2016-02-19 20:00:00,121,Friday,6,26,53,20.4
2016-02-26 20:00:00,121,Friday,6,26,58,20.35
